id,tipo,x,y
N0,S,100,350
N1,E,100,350
N2,E,101,350
N3,Q,102,350
N4,I,103,350
N5,A,103,350
N6,E,104,350
N7,Q,105,350
N8,S,106,350
N9,S,106,350
N10,I,107,350
N11,Q,108,350
N12,E,109,350
N13,R,109,350
N14,I,110,350
N15,R,111,350
N16,S,112,350
N17,I,112,350
N18,A,113,350
N19,Q,114,350
N20,S,115,350
N21,E,115,350
N22,I,116,350
N23,Q,117,350
N24,I,118,350
N25,R,118,350
N26,I,119,350
N27,S,120,350
N28,E,121,350
N29,Q,121,350
N30,E,122,350
N31,A,123,350
N32,R,124,350
N33,R,124,350
N34,A,125,350
N35,Q,126,350
N36,E,127,350
N37,A,127,350
N38,S,128,350
N39,R,129,350
N40,R,130,350
N41,A,130,350
N42,I,131,350
N43,R,132,350
N44,I,133,350
N45,S,133,350
N46,R,134,350
N47,I,135,350
N48,I,136,350
N49,E,136,350
N50,S,137,350
N51,I,138,350
N52,A,139,350
N53,S,139,350
N54,A,140,350
N55,E,141,350
N56,I,142,350
N57,Q,142,350
N58,Q,143,350
N59,I,144,350
N60,R,145,350
N61,A,145,350
N62,A,146,350
N63,S,147,350
N64,S,148,350
N65,I,148,350
N66,R,149,350
N67,S,150,350
N68,S,151,350
N69,Q,151,350
N70,A,152,350
N71,S,153,350
N72,R,154,350
N73,Q,154,350
N74,Q,155,350
N75,E,156,350
N76,E,157,350
N77,A,157,350
N78,I,158,350
N79,R,159,350
N80,Q,160,350
N81,I,160,350
N82,S,161,350
N83,A,162,350
N84,S,163,350
N85,Q,163,350
N86,E,164,350
N87,A,165,350
N88,Q,166,350
N89,R,166,350
N90,I,167,350
N91,S,168,350
N92,E,169,350
N93,Q,169,350
N94,Q,170,350
N95,I,171,350
N96,I,172,350
N97,E,172,350
N98,I,173,350
N99,S,174,350
N100,Q,175,350
N101,Q,175,350
N102,S,176,350
N103,E,177,350
N104,I,178,350
N105,S,178,350
N106,A,179,350
N107,Q,180,350
N108,R,181,350
N109,A,181,350
N110,Q,182,350
N111,E,183,350
N112,Q,184,350
N113,A,184,350
N114,A,185,350
N115,A,186,350
N116,Q,187,350
N117,Q,187,350
N118,R,188,350
N119,R,189,350
N120,I,190,350
N121,I,190,350
N122,S,191,350
N123,Q,192,350
N124,A,193,350
N125,R,193,350
N126,E,194,350
N127,A,195,350
N128,S,196,350
N129,R,196,350
N130,E,197,350
N131,Q,198,350
N132,I,199,350
N133,I,199,350
N134,I,200,350
N135,A,201,350
N136,A,202,350
N137,A,202,350
N138,R,203,350
N139,Q,204,350
N140,S,205,350
N141,S,205,350
N142,A,206,350
N143,A,207,350
N144,I,208,350
N145,Q,208,350
N146,E,209,350
N147,A,210,350
N148,A,211,350
N149,E,211,350
N150,I,212,350
N151,A,213,350
N152,Q,214,350
N153,E,214,350
N154,E,215,350
N155,I,216,350
N156,E,217,350
N157,E,217,350
N158,Q,218,350
N159,A,219,350
N160,A,220,350
N161,I,220,350
N162,Q,221,350
N163,E,222,350
N164,Q,223,350
N165,S,223,350
N166,Q,224,350
N167,A,225,350
N168,A,226,350
N169,I,226,350
N170,A,227,350
N171,Q,228,350
N172,Q,229,350
N173,I,229,350
N174,E,230,350
N175,Q,231,350
N176,A,232,350
N177,Q,232,350
N178,E,233,350
N179,A,234,350
N180,S,235,350
N181,R,235,350
N182,A,236,350
N183,I,237,350
N184,S,238,350
N185,R,238,350
N186,R,239,350
N187,S,240,350
N188,A,241,350
N189,A,241,350
N190,E,242,350
N191,A,243,350
N192,Q,244,350
N193,S,244,350
N194,A,245,350
N195,A,246,350
N196,A,247,350
N197,A,247,350
N198,E,248,350
N199,I,249,350
N200,Q,250,350
N201,R,250,350
N202,A,251,350
N203,S,252,350
N204,A,253,350
N205,Q,253,350
N206,E,254,350
N207,R,255,350
N208,S,256,350
N209,E,256,350
N210,R,257,350
N211,Q,258,350
N212,Q,259,350
N213,E,259,350
N214,S,260,350
N215,A,261,350
N216,R,262,350
N217,A,262,350
N218,I,263,350
N219,E,264,350
N220,Q,265,350
N221,I,265,350
