id,tipo,x,y
N0,E,102,108
N1,E,879,474
N2,I,167,101
N3,I,662,130
N4,A,585,528
N5,A,388,416
N6,S,148,434
N7,I,462,252
N8,Q,690,322
N9,A,209,512
N10,R,122,531
N11,S,518,565
N12,Q,435,301
N13,A,810,531
N14,Q,374,430
N15,R,663,257
N16,S,348,471
N17,A,512,346
N18,R,848,555
N19,E,116,203
N20,E,413,455
N21,A,887,170
N22,S,324,358
N23,E,178,223
N24,I,755,325
N25,S,793,222
N26,S,557,146
N27,S,799,261
N28,E,412,534
N29,I,353,333
N30,I,213,362
N31,A,340,207
N32,Q,559,538
N33,R,880,270
N34,S,440,500
N35,E,713,408
N36,A,798,335
N37,E,312,545
N38,R,336,480
N39,Q,343,290
N40,S,273,205
N41,E,153,170
N42,R,759,502
N43,I,228,202
N44,Q,642,515
N45,Q,295,169
N46,A,371,232
N47,Q,544,301
N48,I,259,130
N49,R,465,477
N50,A,534,116
N51,E,341,582
N52,Q,658,416
N53,A,173,584
N54,Q,224,577
N55,A,752,439
N56,Q,455,144
N57,A,160,286
N58,Q,750,331
N59,A,710,300
N60,A,482,433
N61,I,387,439
N62,E,319,497
N63,R,704,245
N64,S,310,212
N65,E,470,334
N66,Q,226,315
N67,I,644,321
N68,S,289,204
N69,Q,596,564
N70,Q,297,264
N71,S,252,321
N72,E,180,480
N73,E,804,501
N74,Q,528,457
N75,Q,436,280
N76,Q,258,447
N77,S,509,412
N78,I,679,525
N79,S,679,273
N80,R,682,237
N81,R,604,407
N82,A,892,280
N83,S,203,163
N84,R,882,484
N85,R,502,414
N86,Q,718,584
N87,A,872,550
N88,R,215,179
N89,E,357,106
N90,A,869,522
N91,R,508,390
N92,R,888,442
N93,E,786,227
N94,S,479,103
N95,A,672,262
N96,E,148,131
N97,I,151,516
N98,R,632,108
N99,S,419,210
N100,S,174,285
N101,E,392,577
N102,A,874,309
N103,E,474,399
N104,Q,400,332
N105,S,884,457
N106,E,704,443
N107,A,138,345
N108,R,439,513
N109,S,348,305
N110,R,552,435
N111,S,508,460
N112,I,423,405
N113,I,251,380
N114,Q,180,590
N115,S,501,477
N116,I,476,458
N117,S,765,174
N118,Q,838,295
N119,E,191,315
N120,A,843,413
N121,A,340,505
N122,E,382,235
N123,Q,664,595
N124,I,446,587
N125,R,713,420
N126,A,105,600
N127,Q,136,184
N128,E,334,249
N129,E,348,460
N130,R,791,323
N131,Q,112,491
N132,E,197,179
N133,E,786,293
N134,S,574,358
N135,R,450,586
N136,I,174,219
N137,I,676,223
N138,S,173,423
N139,A,266,173
N140,E,755,341
N141,A,571,480
N142,R,867,361
N143,Q,773,142
N144,S,574,414
N145,S,571,564
N146,Q,387,434
N147,A,759,231
N148,Q,368,385
N149,A,771,231
N150,E,572,139
N151,R,500,247
N152,A,592,224
N153,S,514,294
N154,Q,696,319
N155,R,305,260
N156,I,530,488
N157,R,687,400
N158,A,767,375
N159,A,712,367
N160,I,346,111
N161,E,526,388
N162,A,669,209
N163,A,568,107
N164,A,295,209
N165,I,684,538
N166,E,133,288
N167,A,841,498
N168,R,497,223
N169,R,719,319
N170,A,532,158
N171,E,784,249
N172,Q,866,138
N173,R,524,451
N174,S,360,332
N175,E,713,413
N176,A,727,590
N177,A,309,494
N178,S,858,146
N179,A,216,320
N180,E,868,184
N181,I,660,394
N182,A,551,329
N183,E,222,503
N184,A,254,509
N185,A,436,462
N186,E,894,134
N187,R,500,319
N188,R,587,472
N189,A,568,159
N190,A,786,126
N191,E,104,461
N192,S,706,362
N193,A,658,395
