step,S,A,E,I,Q,R,T
1,18,518,7952,379,147,61,1164
2,50,154,6811,1791,155,70,1109
3,53,0,5701,2902,238,105,1054
4,64,2,4673,3716,372,136,979
5,46,2,3843,4287,537,201,934
6,54,1,3154,4682,729,253,878
7,44,0,2655,4886,908,321,836
8,41,0,2205,5030,1080,403,806
9,49,3,1788,5086,1259,509,769
10,45,0,1470,5075,1450,604,735
11,40,2,1227,5026,1580,725,698
12,47,3,1018,4922,1721,837,668
13,50,3,889,4744,1872,940,633
14,54,4,756,4616,1991,1036,599
15,58,3,659,4446,2087,1134,565
16,51,5,575,4310,2155,1232,540
17,52,5,511,4139,2204,1366,516
18,49,2,478,3917,2294,1486,491
19,48,2,439,3736,2384,1560,468
20,50,1,395,3611,2393,1666,441
21,62,2,374,3444,2416,1765,417
22,46,3,362,3279,2445,1873,407
23,53,3,330,3158,2419,1988,389
24,50,2,306,3040,2417,2073,376
25,62,1,295,2894,2427,2143,358
26,52,4,290,2757,2416,2243,353
27,66,1,288,2638,2370,2343,331
28,63,2,293,2505,2376,2402,320
29,66,0,301,2387,2331,2500,309
30,63,5,316,2273,2312,2562,298
31,74,9,324,2178,2288,2610,282
32,58,3,336,2099,2265,2675,272
33,59,3,333,2035,2217,2732,262
34,78,2,323,1949,2220,2756,247
35,62,3,329,1892,2191,2781,249
36,65,4,327,1812,2158,2832,243
37,81,5,327,1737,2121,2877,232
38,58,6,346,1668,2095,2913,235
39,62,3,346,1603,2058,2952,228
40,72,3,340,1563,1984,3000,219
41,62,2,339,1525,1946,3010,226
42,76,3,336,1494,1896,3036,210
43,54,6,340,1442,1863,3061,212
44,74,2,322,1417,1805,3074,210
45,70,3,329,1379,1762,3084,208
46,73,4,320,1339,1744,3095,200
47,68,2,328,1301,1706,3089,202
48,82,4,336,1274,1672,3077,194
49,66,4,342,1255,1650,3073,189
50,64,2,342,1232,1623,3076,184
51,78,1,338,1206,1579,3078,183
52,56,2,347,1192,1527,3104,182
53,82,4,325,1177,1493,3074,176
54,74,6,343,1150,1471,3054,172
55,52,7,339,1135,1437,3077,169
56,81,4,328,1121,1387,3079,158
57,67,2,344,1103,1377,3054,158
58,81,4,344,1082,1340,3041,152
59,74,5,352,1068,1316,3009,151
60,71,3,358,1056,1281,3001,149
61,63,3,365,1035,1262,2990,151
62,76,3,367,1026,1244,2958,144
63,52,2,368,1010,1233,2948,142
64,50,3,348,1011,1211,2950,136
65,68,4,322,1022,1180,2928,128
66,68,4,314,1040,1152,2901,128
67,62,8,316,1049,1110,2881,129
68,70,6,315,1045,1094,2864,126
69,60,6,318,1038,1080,2853,125
70,40,4,319,1021,1054,2860,132
71,68,4,303,1003,1042,2833,122
72,54,4,319,994,1043,2798,120
73,59,3,309,1003,1026,2774,118
74,66,3,308,984,1025,2751,116
75,69,2,317,970,1004,2730,108
76,61,4,309,979,986,2708,106
77,46,3,317,957,982,2683,107
78,55,4,302,934,1000,2658,104
79,52,4,289,943,979,2636,98
80,53,3,298,926,977,2620,94
81,62,3,299,921,951,2603,87
82,62,2,299,909,944,2579,85
83,61,2,307,900,938,2550,85
84,55,3,313,897,929,2520,87
85,57,3,310,880,927,2493,87
86,54,3,305,893,894,2490,85
87,44,3,294,901,876,2490,87
88,53,3,289,892,876,2452,88
89,64,3,276,893,879,2407,85
90,64,4,286,900,866,2379,84
91,53,3,294,898,858,2351,85
92,42,1,307,868,855,2353,85
93,49,2,303,846,841,2346,82
94,50,1,297,831,846,2323,86
95,43,2,293,836,824,2310,89
96,48,3,295,824,822,2291,92
97,58,1,295,814,822,2272,91
98,38,0,307,805,801,2270,90
99,55,1,292,799,798,2238,89
100,45,5,278,797,792,2231,92
101,42,2,269,801,783,2220,92
102,48,4,258,797,779,2190,91
103,62,6,259,781,775,2155,86
104,57,3,270,778,756,2132,82
105,37,6,277,776,756,2123,82
106,42,6,269,778,756,2104,77
107,51,5,264,771,750,2089,73
108,45,2,273,769,748,2054,74
109,51,2,273,754,746,2034,74
110,40,4,268,752,745,2028,73
111,51,3,264,739,753,1999,68
112,48,3,275,732,736,1990,70
113,58,1,268,736,717,1969,66
114,39,4,280,735,705,1962,65
115,42,2,263,750,692,1941,65
116,32,2,260,747,688,1937,64
117,35,2,243,741,678,1939,63
118,40,1,243,734,675,1910,64
119,38,5,236,720,663,1905,64
120,43,3,239,700,672,1864,64
121,42,4,242,693,662,1849,67
122,45,2,239,688,660,1830,67
123,34,5,250,679,655,1831,65
124,37,3,244,679,647,1819,66
125,41,2,236,686,637,1793,66
126,31,3,230,682,629,1789,67
127,41,4,208,677,626,1774,66
128,42,5,222,657,622,1760,67
129,32,2,223,646,618,1748,74
130,42,1,213,638,613,1728,75
131,35,7,197,648,606,1727,73
132,43,1,194,640,608,1705,72
133,29,3,196,618,632,1687,72
134,33,3,198,607,628,1679,71
135,31,3,191,604,624,1675,68
136,28,2,195,602,610,1667,70
137,35,2,190,588,607,1651,74
138,41,1,190,591,591,1640,73
139,38,0,186,592,596,1617,77
140,39,4,184,594,584,1593,76
141,30,2,205,578,573,1579,76
142,35,2,203,570,570,1574,70
143,37,6,203,574,564,1553,70
144,31,1,213,571,552,1548,68
145,32,3,210,564,561,1535,71
146,37,1,214,568,550,1522,67
147,34,2,216,566,545,1509,66
148,32,2,210,568,543,1488,65
149,35,2,212,568,523,1484,68
150,44,1,221,545,530,1459,67
151,30,2,222,540,527,1467,65
152,38,3,221,537,528,1442,62
153,30,3,234,537,511,1431,58
154,39,3,215,551,500,1411,55
155,33,3,217,552,501,1388,58
156,35,2,212,532,506,1383,57
