Paso,S,A,E,I,Q,R,T
0,15,455,7988,374,161,65,1163
1,63,162,6727,1826,169,75,1092
2,54,3,5676,2891,254,104,1029
3,50,5,4632,3754,373,132,979
4,41,4,3842,4289,523,185,936
5,42,3,3150,4699,695,255,891
6,55,1,2585,4964,881,316,839
7,41,3,2127,5119,1072,393,803
8,49,2,1803,5112,1250,483,758
9,50,6,1533,5047,1418,578,717
10,38,4,1311,4985,1552,682,695
11,45,0,1097,4820,1748,806,658
12,43,4,925,4706,1862,930,627
13,45,2,774,4565,1996,1029,606
14,51,4,658,4402,2111,1130,577
15,49,2,578,4220,2182,1264,546
16,56,4,519,4040,2273,1366,515
17,44,3,492,3838,2354,1481,493
18,67,1,449,3655,2402,1578,466
19,46,2,437,3495,2434,1676,439
20,55,1,404,3340,2457,1765,415
21,62,3,390,3196,2472,1845,396
22,53,8,377,3037,2487,1963,371
23,48,0,366,2885,2493,2079,356
24,50,4,340,2759,2483,2172,345
25,50,4,316,2635,2487,2255,337
26,67,3,303,2511,2498,2309,323
27,55,3,317,2375,2505,2388,306
28,71,3,321,2277,2471,2425,297
29,64,3,330,2190,2429,2506,287
30,66,3,331,2117,2403,2548,276
31,68,4,343,2031,2363,2609,264
32,79,4,346,1961,2345,2622,250
33,69,6,355,1879,2295,2682,250
34,73,7,358,1826,2240,2726,241
35,65,5,361,1758,2245,2745,230
36,62,7,355,1697,2210,2791,223
37,75,4,345,1660,2174,2801,219
38,62,3,342,1623,2114,2855,219
39,65,0,343,1558,2087,2878,214
40,63,1,360,1497,2042,2909,203
41,62,3,353,1457,2004,2931,203
42,72,2,352,1410,1947,2955,200
43,84,5,359,1392,1896,2955,190
44,61,7,376,1370,1849,2968,189
45,64,2,367,1346,1790,2998,183
46,68,3,361,1311,1759,3018,177
47,71,2,367,1295,1706,3030,166
48,69,3,356,1284,1644,3041,166
49,62,4,348,1260,1614,3062,165
50,62,0,347,1222,1596,3064,173
51,72,2,344,1204,1567,3060,170
52,70,3,345,1187,1528,3064,169
53,79,7,357,1160,1475,3056,167
54,60,6,361,1147,1452,3045,158
55,57,3,364,1136,1429,3034,154
56,75,4,347,1112,1402,3027,153
57,67,5,349,1115,1369,3024,146
58,72,4,351,1099,1334,3015,146
59,76,2,352,1082,1320,2978,147
60,74,5,363,1068,1305,2950,146
61,58,6,360,1071,1268,2942,143
62,59,3,347,1078,1240,2934,140
63,49,4,344,1055,1221,2929,138
64,79,4,320,1056,1215,2890,136
65,66,6,344,1033,1195,2871,133
66,75,7,335,1022,1184,2842,131
67,66,5,331,1021,1165,2819,131
68,62,3,332,1015,1147,2795,133
69,81,3,330,1004,1131,2772,132
70,66,2,353,986,1127,2740,133
71,43,4,351,985,1110,2741,130
72,68,0,340,969,1092,2736,119
73,62,7,333,975,1085,2712,119
74,61,5,333,953,1067,2701,111
75,75,4,347,923,1048,2680,108
76,69,3,368,904,1035,2656,106
77,50,2,361,909,1008,2652,112
78,46,3,337,913,970,2650,116
79,52,4,319,918,961,2629,109
80,57,0,307,906,953,2616,103
81,60,3,309,895,932,2599,105
82,57,6,314,883,925,2571,103
83,57,4,307,878,907,2559,107
84,55,3,303,871,888,2536,109
85,50,3,309,857,875,2520,109
86,58,6,291,871,854,2509,106
87,56,8,282,881,824,2495,109
88,52,2,294,863,834,2466,112
89,46,2,286,865,833,2436,113
90,61,3,273,859,829,2410,110
91,61,5,287,849,824,2370,110
92,48,4,298,839,819,2348,112
93,46,4,272,839,820,2331,108
94,60,3,269,825,801,2325,106
95,42,2,275,807,798,2311,108
96,56,1,272,804,779,2291,108
97,49,7,264,810,778,2247,107
98,49,3,266,793,781,2233,103
99,41,3,263,793,773,2224,101
100,34,3,249,804,748,2226,106
101,51,1,234,809,744,2195,104
102,49,5,238,815,732,2174,100
103,57,2,250,807,736,2140,94
104,42,3,252,803,733,2126,89
105,58,0,253,780,723,2099,88
106,45,2,252,774,720,2089,85
107,42,3,252,766,720,2073,86
108,50,5,249,769,702,2061,83
109,54,3,243,782,703,2017,82
110,39,4,254,762,691,2012,84
111,48,3,247,755,688,1984,87
112,43,3,253,741,690,1956,87
113,30,4,241,733,690,1955,88
114,38,4,215,737,667,1951,85
115,49,1,213,740,656,1934,79
116,37,0,226,728,661,1916,81
117,42,1,223,705,680,1888,82
118,36,0,217,699,683,1870,83
119,42,1,209,690,690,1849,88
120,36,4,208,676,675,1851,87
121,45,2,196,674,667,1831,86
122,49,2,208,652,669,1811,84
123,47,3,214,654,666,1770,85
124,38,6,206,666,655,1765,83
125,41,2,222,647,641,1754,84
126,42,4,222,632,616,1755,84
127,35,4,226,630,603,1759,80
128,33,2,213,635,599,1741,81
129,33,3,202,645,588,1732,80
130,33,2,207,645,577,1711,81
131,31,1,208,644,570,1703,83
132,36,3,207,629,574,1683,78
133,33,2,211,633,574,1671,80
134,43,4,200,633,569,1642,78
135,30,5,201,638,557,1637,76
136,29,1,202,635,553,1630,76
137,33,1,202,618,558,1613,71
138,37,1,206,612,546,1598,69
139,32,3,191,616,530,1600,74
140,35,3,192,612,514,1592,77
141,45,4,199,607,521,1562,75
142,28,4,195,605,533,1548,78
143,30,1,185,597,526,1551,79
144,41,2,179,576,533,1534,81
145,27,1,185,579,517,1537,78
146,34,0,193,571,500,1531,74
147,39,1,192,558,496,1514,75
148,34,2,190,557,500,1496,73
149,35,3,190,554,501,1469,72
150,31,2,192,549,501,1439,71
151,34,0,199,524,513,1425,71
152,30,0,192,528,508,1412,71
153,23,3,186,523,515,1400,68
154,35,2,179,519,520,1386,65
155,24,4,183,511,517,1387,71
156,30,4,174,513,514,1377,73
157,32,2,165,516,512,1364,72
158,25,1,165,516,506,1363,72
159,24,4,166,518,484,1356,70
160,25,3,169,497,487,1349,68
161,29,3,170,496,471,1355,67
162,28,2,158,504,467,1348,67
163,23,1,155,503,472,1339,66
164,30,0,158,501,465,1331,68
165,31,2,150,487,477,1316,69
166,25,3,158,491,467,1307,71
167,26,2,161,481,470,1300,66
168,29,5,158,477,469,1291,67
169,24,4,164,471,471,1276,68
170,31,3,170,464,464,1262,69
171,31,4,171,471,452,1249,68
172,28,6,176,469,455,1237,64
173,36,2,174,463,450,1235,57
174,40,1,184,471,439,1213,56
175,38,2,192,471,430,1198,53
176,19,3,200,463,436,1186,51
177,29,1,181,476,436,1173,51
178,23,3,184,474,430,1169,51
179,36,2,177,476,425,1147,51
180,25,4,183,484,423,1131,57
181,27,3,180,480,420,1119,58
182,24,2,172,489,416,1113,56
183,25,1,171,494,412,1099,56
184,21,3,167,494,406,1092,56
185,24,1,155,504,400,1087,56
186,26,2,139,507,401,1071,55
187,27,2,146,496,405,1060,55
188,17,4,152,485,409,1057,55
189,25,5,150,481,407,1051,49
190,28,5,145,481,396,1059,45
191,31,3,153,475,392,1049,45
192,26,0,167,463,391,1046,46
193,25,2,160,466,391,1041,43
194,23,3,152,478,390,1030,44
195,30,2,156,466,397,1015,48
196,26,1,157,477,394,999,49
197,25,1,159,476,401,990,45
198,28,4,163,469,403,984,43
199,16,2,163,467,408,976,43
200,21,1,162,450,409,978,43
201,23,2,143,454,415,967,43
202,12,3,141,448,416,972,43
203,22,2,125,453,417,962,42
204,18,0,124,445,413,965,42
205,18,0,122,437,404,965,40
206,26,2,118,440,396,957,36
207,21,2,130,437,383,959,34
208,24,1,131,430,385,953,36
209,27,2,136,416,392,932,39
210,20,2,137,424,387,926,37
211,18,1,138,419,383,924,39
212,25,1,131,419,375,913,37
213,25,1,135,411,379,898,42
214,19,0,140,409,374,896,42
215,20,1,138,423,369,888,45
216,21,1,145,400,375,883,49
217,19,2,135,411,367,882,47
218,19,1,146,393,359,894,41
219,17,2,137,395,357,893,42
220,21,4,122,415,356,881,41
221,27,4,125,419,348,869,39
222,22,2,134,407,354,856,36
223,17,0,135,410,351,848,37
224,12,1,128,416,342,849,37
225,17,2,118,416,336,848,37
226,17,3,114,410,343,843,39
227,18,4,108,411,330,849,39
