id,tipo,x,y
N0,A,216,321
N1,A,238,374
N2,A,247,447
N3,E,493,206
N4,A,468,358
N5,I,431,519
N6,E,842,279
N7,A,822,405
N8,S,873,548
N9,I,196,269
N10,Q,274,369
N11,E,124,610
N12,S,481,186
N13,Q,427,378
N14,Q,563,554
N15,S,827,176
N16,I,703,382
N17,Q,901,466
N18,I,239,221
N19,R,213,346
N20,S,207,552
N21,A,568,201
N22,R,447,428
N23,Q,470,600
N24,A,813,259
N25,I,826,412
N26,R,827,490
N27,S,222,193
N28,E,190,381
N29,E,121,639
N30,R,563,247
N31,S,507,307
N32,A,496,517
N33,S,891,311
N34,Q,758,482
N35,S,786,615
N36,I,154,216
N37,R,219,336
N38,R,124,564
N39,A,562,236
N40,E,461,453
N41,Q,573,485
N42,S,761,241
N43,A,821,420
N44,E,779,563
N45,Q,255,252
N46,Q,182,376
N47,Q,211,489
N48,Q,537,224
N49,S,411,431
N50,Q,469,598
N51,R,901,329
N52,I,755,323
N53,I,798,507
N54,I,274,203
N55,Q,134,335
N56,R,148,490
N57,R,507,286
N58,S,465,339
N59,E,399,464
N60,Q,843,256
N61,Q,743,438
N62,E,760,633
N63,S,139,284
N64,Q,244,341
N65,I,136,585
N66,R,503,188
N67,R,469,338
N68,I,415,511
N69,E,871,340
N70,E,777,339
N71,R,730,569
N72,I,186,252
N73,E,213,429
N74,Q,243,637
N75,A,485,202
N76,A,544,434
N77,S,493,493
N78,A,838,290
N79,S,769,462
N80,S,819,470
N81,A,142,229
N82,S,213,333
N83,Q,119,544
N84,E,601,213
N85,A,502,355
N86,R,470,560
N87,A,796,197
N88,E,793,347
N89,E,767,514
N90,Q,141,278
N91,S,244,321
N92,Q,236,521
N93,R,532,266
N94,I,460,444
N95,Q,526,552
N96,E,813,272
N97,I,856,317
N98,A,781,559
N99,I,223,276
N100,A,266,184
N101,S,111,431
N102,I,256,547
N103,I,459,195
N104,A,460,398
N105,A,454,536
N106,S,719,278
N107,R,726,394
N108,A,866,513
N109,I,236,144
N110,I,181,466
N111,A,156,498
N112,E,491,186
N113,Q,448,455
N114,I,490,622
N115,E,780,160
N116,A,721,360
N117,E,903,496
N118,S,242,273
N119,R,126,389
N120,Q,147,596
N121,Q,454,179
N122,A,501,419
N123,Q,469,620
N124,S,846,289
N125,R,801,370
N126,Q,713,494
N127,R,220,292
N128,I,192,490
N129,I,185,494
N130,A,462,238
N131,E,463,384
N132,S,542,486
N133,R,856,281
N134,E,788,360
N135,E,837,613
N136,Q,297,250
N137,S,201,355
N138,I,110,593
N139,Q,507,290
N140,A,445,434
N141,S,483,569
N142,I,758,250
N143,R,820,478
N144,Q,767,539
N145,S,197,277
N146,S,264,436
N147,S,126,530
N148,Q,547,279
N149,S,432,441
N150,E,456,640
N151,S,805,269
N152,S,714,412
N153,Q,717,507
N154,S,233,190
N155,A,288,368
N156,A,197,470
N157,Q,473,268
N158,I,443,382
N159,S,427,510
N160,I,783,249
N161,R,753,453
N162,I,805,575
N163,A,186,217
N164,E,129,323
N165,R,282,553
N166,A,459,336
N167,I,457,435
N168,Q,511,542
N169,S,878,291
N170,I,764,339
N171,R,827,585
N172,R,228,199
N173,E,174,347
N174,I,226,509
N175,Q,424,287
