origen,destino
T0,T1
T0,T2
T1,T3
T1,T4
T2,T5
T2,T6
T3,T7
T3,T8
T4,T9
T4,T10
T5,T11
T5,T12
T6,T13
T6,T14
T7,T15
T7,T16
T8,T17
T8,T18
T9,T19
T9,T20
T10,T21
T10,T22
T11,T23
T11,T24
T12,T25
T12,T26
T13,T27
T13,T28
T14,T29
T14,T30
T25,N0
T22,N1
T11,N2
T25,N3
T1,N4
T20,N5
T25,N6
T6,N7
T6,N8
T14,N9
T20,N10
T13,N11
T1,N12
T13,N13
T9,N14
T24,N15
T21,N16
T20,N17
T4,N18
T25,N19
T22,N20
T14,N21
T4,N22
T25,N23
T24,N24
T11,N25
T6,N26
T21,N27
T4,N28
T21,N29
T6,N30
T21,N31
T3,N32
T13,N33
T25,N34
T14,N35
T1,N36
T0,N37
T14,N38
T13,N39
T25,N40
T21,N41
T26,N42
T21,N43
T9,N44
T13,N45
T4,N46
T24,N47
T22,N48
T23,N49
T22,N50
T3,N51
T26,N52
T1,N53
T4,N54
T11,N55
T23,N56
T23,N57
T24,N58
T14,N59
T3,N60
T26,N61
T3,N62
T6,N63
T13,N64
T10,N65
T1,N66
T6,N67
T26,N68
T20,N69
T0,N70
T2,N71
T3,N72
T21,N73
T23,N74
T2,N75
T22,N76
T0,N77
T21,N78
T12,N79
T20,N80
T23,N81
T1,N82
T23,N83
T3,N84
T24,N85
T3,N86
T24,N87
T9,N88
T14,N89
T26,N90
T3,N91
T22,N92
T13,N93
T6,N94
T25,N95
T23,N96
T2,N97
T24,N98
T21,N99
T6,N100
T26,N101
T6,N102
T25,N103
T3,N104
T24,N105
T24,N106
T14,N107
T22,N108
T21,N109
T4,N110
T13,N111
T22,N112
T8,N113
T6,N114
T24,N115
T13,N116
T20,N117
T14,N118
T8,N119
T24,N120
T0,N121
T3,N122
T23,N123
T11,N124
T8,N125
T20,N126
T26,N127
T24,N128
T23,N129
T12,N130
T21,N131
T20,N132
T22,N133
T14,N134
T8,N135
T4,N136
T25,N137
T21,N138
T6,N139
T22,N140
T25,N141
T3,N142
T21,N143
T1,N144
T1,N145
T11,N146
T23,N147
T14,N148
T14,N149
T13,N150
T8,N151
T22,N152
T11,N153
T5,N154
T26,N155
T10,N156
T2,N157
T3,N158
T6,N159
T26,N160
T1,N161
T3,N162
T26,N163
T23,N164
T24,N165
T10,N166
T21,N167
T24,N168
T0,N169
T3,N170
T26,N171
T21,N172
T25,N173
T14,N174
T22,N175
T23,N176
T21,N177
T6,N178
T3,N179
T24,N180
T13,N181
T14,N182
T23,N183
T13,N184
T9,N185
T21,N186
T5,N187
T3,N188
T26,N189
T26,N190
T6,N191
T24,N192
T25,N193
T6,N194
T23,N195
T25,N196
T26,N197
T14,N198
T21,N199
T13,N200
T8,N201
T22,N202
T20,N203
T25,N204
T26,N205
T26,N206
T10,N207
T24,N208
T24,N209
T3,N210
T23,N211
T3,N212
T1,N213
T23,N214
T5,N215
T12,N216
T22,N217
T1,N218
T8,N219
T24,N220
T14,N221
T26,N222
T23,N223
T1,N224
T26,N225
T22,N226
T2,N227
T6,N228
T2,N229
T26,N230
T8,N231
T23,N232
T0,N233
T20,N234
T26,N235
T24,N236
T13,N237
T24,N238
T8,N239
T1,N240
T23,N241
T26,N242
T6,N243
T24,N244
T6,N245
T0,N246
T23,N247
T20,N248
T1,N249
T12,N250
T5,N251
T21,N252
T24,N253
T25,N254
T6,N255
T3,N256
T14,N257
T24,N258
T3,N259
T26,N260
T26,N261
T26,N262
T14,N263
T1,N264
T12,N265
T3,N266
T26,N267
T20,N268
T21,N269
T3,N270
T20,N271
T23,N272
T0,N273
T23,N274
T23,N275
T5,N276
T20,N277
T2,N278
T0,N279
T14,N280
T6,N281
T2,N282
T3,N283
T24,N284
T1,N285
T6,N286
T13,N287
T9,N288
T24,N289
T22,N290
T24,N291
T26,N292
T25,N293
T20,N294
T5,N295
T23,N296
T23,N297
T11,N298
T20,N299
T13,N300
T22,N301
T21,N302
T3,N303
T0,N304
T13,N305
T23,N306
T8,N307
T22,N308
T23,N309
T1,N310
T25,N311
T25,N312
T20,N313
T20,N314
T6,N315
T25,N316
T22,N317
T23,N318
T22,N319
T2,N320
T14,N321
T1,N322
T22,N323
T12,N324
T14,N325
T12,N326
T14,N327
T13,N328
T23,N329
T25,N330
T23,N331
T25,N332
T26,N333
T1,N334
T6,N335
T4,N336
T23,N337
T24,N338
T14,N339
T3,N340
T13,N341
T20,N342
T23,N343
T22,N344
T12,N345
T22,N346
T22,N347
T22,N348
T21,N349
T21,N350
T22,N351
T24,N352
T20,N353
T13,N354
T26,N355
T24,N356
T10,N357
T14,N358
T23,N359
T14,N360
T21,N361
T14,N362
T14,N363
T24,N364
T23,N365
T3,N366
T0,N367
T6,N368
T12,N369
T21,N370
T14,N371
T26,N372
T22,N373
T22,N374
T22,N375
T8,N376
T13,N377
T21,N378
T1,N379
T20,N380
T12,N381
T25,N382
T20,N383
T6,N384
T21,N385
T21,N386
T22,N387
T2,N388
T1,N389
T3,N390
T14,N391
T26,N392
T24,N393
T8,N394
T8,N395
T12,N396
T9,N397
T12,N398
T24,N399
T13,N400
T22,N401
T3,N402
T3,N403
T26,N404
T14,N405
T8,N406
T25,N407
T6,N408
T20,N409
T1,N410
T24,N411
T23,N412
T3,N413
T4,N414
T22,N415
T9,N416
T23,N417
T21,N418
T26,N419
T21,N420
T20,N421
T23,N422
T14,N423
T25,N424
T3,N425
T14,N426
T24,N427
T0,N428
T6,N429
T13,N430
T6,N431
T23,N432
T26,N433
T23,N434
T5,N435
T26,N436
T10,N437
T13,N438
T20,N439
T24,N440
T12,N441
T22,N442
T25,N443
T3,N444
T23,N445
T8,N446
T6,N447
T12,N448
T12,N449
T24,N450
T13,N451
T9,N452
T23,N453
T6,N454
T0,N455
T22,N456
T3,N457
T21,N458
T14,N459
T25,N460
T3,N461
T3,N462
T9,N463
T24,N464
T5,N465
T21,N466
T4,N467
T23,N468
T3,N469
T26,N470
T8,N471
T23,N472
T26,N473
T24,N474
T6,N475
T6,N476
T5,N477
T21,N478
T1,N479
T22,N480
T13,N481
T20,N482
T3,N483
T21,N484
T14,N485
T5,N486
T22,N487
T11,N488
T22,N489
T20,N490
T23,N491
T3,N492
T6,N493
T3,N494
T22,N495
T5,N496
T24,N497
T25,N498
T6,N499
T6,N500
T20,N501
T1,N502
T3,N503
T22,N504
T26,N505
T20,N506
T0,N507
T24,N508
T25,N509
T0,N510
T26,N511
T13,N512
T14,N513
T25,N514
T11,N515
T20,N516
T14,N517
T21,N518
T24,N519
T3,N520
T21,N521
T5,N522
T25,N523
T23,N524
T3,N525
T20,N526
T23,N527
T22,N528
T5,N529
T25,N530
T21,N531
T14,N532
T3,N533
T11,N534
T6,N535
T23,N536
T26,N537
T20,N538
T25,N539
T11,N540
T20,N541
T6,N542
T3,N543
T13,N544
T6,N545
T24,N546
T23,N547
T13,N548
T6,N549
T4,N550
T3,N551
T23,N552
T2,N553
T3,N554
T24,N555
T3,N556
T21,N557
T13,N558
T8,N559
T11,N560
T24,N561
T1,N562
T22,N563
T21,N564
T26,N565
T8,N566
T23,N567
T25,N568
T3,N569
T13,N570
T4,N571
T26,N572
T24,N573
T14,N574
T2,N575
T24,N576
T20,N577
T21,N578
T10,N579
T9,N580
T20,N581
T22,N582
T6,N583
T12,N584
T25,N585
T26,N586
T22,N587
T23,N588
T26,N589
T23,N590
T23,N591
T23,N592
